# Temporal histogram for FROST_250x250_sipms_41_2boards.h5
# Total simulated events: 1,000,000
# Total detected photons: 113,481
# WLS-shifted photons: 112,420
#
# Columns: time_ns | wls_shifted_counts
#
3.587500	523
3.612500	532
3.637500	505
3.662500	495
3.687500	490
3.712500	503
3.737500	500
3.762500	458
3.787500	442
3.812500	522
3.837500	497
3.862500	454
3.887500	476
3.912500	490
3.937500	485
3.962500	449
3.987500	484
4.012500	497
4.037500	457
4.062500	424
4.087500	447
4.112500	442
4.137500	424
4.162500	436
4.187500	448
4.212500	421
4.237500	438
4.262500	382
4.287500	410
4.312500	423
4.337500	372
4.362500	391
4.387500	383
4.412500	392
4.437500	404
4.462500	363
4.487500	388
4.512500	391
4.537500	382
4.562500	365
4.587500	347
4.612500	382
4.637500	393
4.662500	347
4.687500	358
4.712500	315
4.737500	335
4.762500	349
4.787500	323
4.812500	375
4.837500	347
4.862500	304
4.887500	309
4.912500	346
4.937500	300
4.962500	328
4.987500	327
5.012500	307
5.037500	293
5.062500	297
5.087500	317
5.112500	277
5.137500	289
5.162500	308
5.187500	291
5.212500	303
5.237500	275
5.262500	272
5.287500	284
5.312500	262
5.337500	246
5.362500	245
5.387500	248
5.412500	259
5.437500	246
5.462500	234
5.487500	239
5.512500	224
5.537500	254
5.562500	217
5.587500	207
5.612500	221
5.637500	232
5.662500	257
5.687500	247
5.712500	213
5.737500	242
5.762500	207
5.787500	212
5.812500	214
5.837500	204
5.862500	205
5.887500	182
5.912500	225
5.937500	192
5.962500	211
5.987500	215
6.012500	188
6.037500	158
6.062500	170
6.087500	182
6.112500	171
6.137500	203
6.162500	193
6.187500	169
6.212500	161
6.237500	176
6.262500	147
6.287500	171
6.312500	173
6.337500	143
6.362500	180
6.387500	145
6.412500	137
6.437500	163
6.462500	127
6.487500	167
6.512500	164
6.537500	142
6.562500	165
6.587500	141
6.612500	126
6.637500	145
6.662500	131
6.687500	149
6.712500	143
6.737500	153
6.762500	139
6.787500	106
6.812500	144
6.837500	137
6.862500	137
6.887500	109
6.912500	99
6.937500	145
6.962500	118
6.987500	126
7.012500	110
7.037500	119
7.062500	127
7.087500	92
7.112500	121
7.137500	109
7.162500	118
7.187500	104
7.212500	112
7.237500	108
7.262500	102
7.287500	107
7.312500	107
7.337500	98
7.362500	95
7.387500	98
7.412500	105
7.437500	110
7.462500	113
7.487500	87
7.512500	105
7.537500	102
7.562500	89
7.587500	90
7.612500	90
7.637500	94
7.662500	70
7.687500	71
7.712500	78
7.737500	73
7.762500	83
7.787500	84
7.812500	70
7.837500	81
7.862500	74
7.887500	74
7.912500	66
7.937500	67
7.962500	75
7.987500	66
8.012500	59
8.037500	71
8.062500	72
8.087500	53
8.112500	59
8.137500	76
8.162500	71
8.187500	68
8.212500	65
8.237500	57
8.262500	68
8.287500	66
8.312500	51
8.337500	65
8.362500	44
8.387500	75
8.412500	57
8.437500	55
8.462500	57
8.487500	50
8.512500	57
8.537500	50
8.562500	53
8.587500	37
8.612500	54
8.637500	63
8.662500	47
8.687500	55
8.712500	60
8.737500	42
8.762500	51
8.787500	45
8.812500	62
8.837500	43
8.862500	35
8.887500	52
8.912500	41
8.937500	42
8.962500	53
8.987500	47
9.012500	46
9.037500	48
9.062500	57
9.087500	51
9.112500	52
9.137500	43
9.162500	40
9.187500	38
9.212500	51
9.237500	43
9.262500	43
9.287500	34
9.312500	38
9.337500	41
9.362500	47
9.387500	38
9.412500	34
9.437500	39
9.462500	34
9.487500	34
9.512500	28
9.537500	34
9.562500	26
9.587500	33
9.612500	25
9.637500	27
